                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1426,                0.71326,                 1.1013,                0.71542,                0.73774,                0.77423,                0.50389,                 1.2076,                0.73012,                 1.1507,              0.0091833,              0.0091833,              0.0091833
                     36,                 1.1296,                0.70297,                 1.0942,                0.71496,                0.77312,                0.80072,                0.51519,                 1.2055,                0.68663,                 1.1414,              0.0091585,              0.0091585,              0.0091585
                     37,                 1.1224,                 0.7044,                 1.0954,                0.71401,                  0.775,                0.78857,                0.50689,                 1.2282,                0.70986,                 1.1631,              0.0091337,              0.0091337,              0.0091337
                     38,                 1.1247,                 0.7095,                 1.0958,                0.73944,                0.75512,                 0.8027,                0.52377,                 1.1963,                0.68495,                 1.1409,               0.009109,               0.009109,               0.009109
                     39,                 1.1225,                 0.6978,                 1.0906,                0.75845,                0.74194,                0.79696,                0.51952,                 1.1924,                0.69982,                 1.1458,              0.0090843,              0.0090843,              0.0090843
                     40,                 1.1136,                0.69004,                 1.0895,                0.74238,                0.76474,                0.80598,                0.52307,                  1.204,                0.68892,                 1.1444,              0.0090595,              0.0090595,              0.0090595
                     41,                 1.1034,                0.68702,                 1.0838,                 0.7515,                0.72674,                0.79099,                0.51408,                 1.1931,                0.70849,                 1.1354,              0.0090347,              0.0090347,              0.0090347
                     42,                 1.1056,                0.69219,                 1.0861,                0.76003,                0.72737,                0.79295,                0.51557,                 1.2005,                0.70564,                 1.1415,                0.00901,                0.00901,                0.00901
                     43,                 1.0912,                0.67723,                 1.0764,                 0.7441,                0.75369,                0.80654,                0.52212,                 1.2045,                0.68748,                 1.1474,              0.0089853,              0.0089853,              0.0089853
                     44,                 1.0893,                0.66837,                 1.0777,                0.73557,                0.74057,                 0.7843,                0.51057,                 1.1992,                0.69595,                  1.141,              0.0089605,              0.0089605,              0.0089605
                     45,                 1.0915,                0.67637,                 1.0791,                0.73184,                0.75211,                0.78488,                0.50886,                 1.2005,                0.71333,                 1.1361,              0.0089358,              0.0089358,              0.0089358
                     46,                 1.0828,                0.67201,                 1.0764,                0.71907,                0.76205,                0.79351,                0.51524,                 1.2048,                0.71489,                 1.1477,               0.008911,               0.008911,               0.008911
                     47,                 1.0865,                0.66991,                 1.0768,                0.72754,                0.75781,                0.79298,                0.51583,                  1.202,                0.69682,                 1.1441,              0.0088863,              0.0088863,              0.0088863
                     48,                 1.0619,                0.65371,                 1.0677,                0.72485,                0.77446,                0.79631,                0.51793,                 1.2017,                0.69154,                 1.1428,              0.0088615,              0.0088615,              0.0088615
                     49,                 1.0741,                0.66437,                 1.0721,                0.72868,                0.76594,                0.79532,                0.51699,                 1.1939,                 0.6919,                 1.1426,              0.0088368,              0.0088368,              0.0088368
                     50,                 1.0572,                0.64795,                 1.0639,                0.73029,                0.76736,                0.80042,                0.52133,                 1.1923,                0.67912,                 1.1297,               0.008812,               0.008812,               0.008812
                     51,                 1.0654,                0.65472,                 1.0689,                0.73927,                0.75432,                 0.7956,                0.51909,                 1.2006,                 0.7109,                 1.1469,              0.0087872,              0.0087872,              0.0087872
                     52,                 1.0562,                0.64849,                 1.0633,                0.74417,                0.74654,                0.79014,                0.51597,                  1.199,                 0.6902,                 1.1504,              0.0087625,              0.0087625,              0.0087625
                     53,                 1.0572,                0.64964,                 1.0657,                0.75027,                0.73768,                0.79671,                0.51684,                 1.2104,                0.69263,                  1.155,              0.0087378,              0.0087378,              0.0087378
                     54,                 1.0529,                0.64509,                 1.0618,                0.72779,                0.75634,                 0.7946,                0.51453,                 1.2116,                0.69962,                 1.1504,               0.008713,               0.008713,               0.008713
                     55,                 1.0536,                0.64033,                 1.0549,                0.72806,                0.75986,                0.78911,                0.51543,                 1.1988,                0.68805,                 1.1448,              0.0086882,              0.0086882,              0.0086882
                     56,                 1.0382,                0.62715,                 1.0567,                0.73431,                0.74913,                0.78776,                0.51086,                 1.2143,                 0.6988,                 1.1585,              0.0086635,              0.0086635,              0.0086635
                     57,                 1.0465,                0.63419,                 1.0591,                0.73007,                0.76274,                0.79058,                0.51354,                 1.2022,                 0.6952,                 1.1474,              0.0086388,              0.0086388,              0.0086388
                     58,                 1.0349,                0.63441,                  1.056,                0.72578,                0.74855,                0.78381,                0.51028,                 1.2007,                0.70438,                  1.151,               0.008614,               0.008614,               0.008614
                     59,                 1.0323,                0.62867,                 1.0533,                0.74301,                0.73515,                0.78154,                0.51106,                 1.1986,                0.69973,                 1.1519,              0.0085893,              0.0085893,              0.0085893
                     60,                 1.0277,                0.62365,                 1.0507,                0.73749,                 0.7556,                0.79146,                0.51268,                  1.215,                0.68804,                 1.1529,              0.0085645,              0.0085645,              0.0085645
                     61,                 1.0343,                0.62949,                 1.0533,                0.71452,                0.74879,                0.78357,                0.50961,                 1.2128,                0.71221,                 1.1516,              0.0085398,              0.0085398,              0.0085398
                     62,                 1.0187,                0.61825,                 1.0498,                0.71835,                0.78415,                0.79292,                0.51782,                  1.211,                0.68301,                 1.1541,               0.008515,               0.008515,               0.008515
                     63,                 1.0103,                0.60413,                 1.0408,                0.73342,                0.74227,                0.78532,                0.50991,                 1.2006,                0.68967,                 1.1424,              0.0084903,              0.0084903,              0.0084903
                     64,                 1.0062,                0.61328,                 1.0425,                0.73194,                0.75043,                0.78596,                0.50895,                 1.2083,                0.69786,                 1.1544,              0.0084655,              0.0084655,              0.0084655
                     65,                  1.003,                0.61196,                 1.0421,                0.72154,                0.76301,                 0.7901,                0.51424,                 1.2104,                0.69085,                 1.1528,              0.0084408,              0.0084408,              0.0084408
                     66,                0.99977,                0.59899,                  1.043,                0.73201,                0.74112,                0.77714,                0.50526,                 1.2038,                0.71277,                  1.148,               0.008416,               0.008416,               0.008416
                     67,                 1.0076,                0.60609,                 1.0409,                0.73662,                0.71228,                 0.7589,                0.49012,                 1.2234,                0.73573,                 1.1642,              0.0083913,              0.0083913,              0.0083913
                     68,                0.99231,                0.59214,                  1.031,                0.73079,                0.76499,                0.78937,                0.51417,                 1.2052,                 0.6951,                 1.1518,              0.0083665,              0.0083665,              0.0083665
                     69,                0.99509,                0.59525,                 1.0342,                0.73641,                 0.7579,                0.79172,                0.51522,                 1.1937,                0.69649,                 1.1492,              0.0083418,              0.0083418,              0.0083418
                     70,                0.98997,                0.59708,                  1.035,                0.76273,                0.72146,                0.78687,                0.50652,                 1.2244,                0.70745,                  1.165,               0.008317,               0.008317,               0.008317
                     71,                0.99126,                0.59233,                 1.0361,                0.75259,                0.74922,                0.79116,                0.51531,                 1.2115,                0.69413,                 1.1585,              0.0082922,              0.0082922,              0.0082922
                     72,                0.98301,                0.59192,                 1.0326,                0.70535,                0.76209,                0.77169,                0.50071,                 1.2128,                0.70956,                 1.1525,              0.0082675,              0.0082675,              0.0082675
                     73,                0.97859,                0.59165,                 1.0297,                 0.7186,                 0.7614,                0.77795,                0.50537,                 1.2081,                0.69707,                 1.1522,              0.0082428,              0.0082428,              0.0082428
                     74,                0.97686,                0.58724,                 1.0286,                 0.7423,                0.72832,                0.76966,                0.49806,                 1.2155,                0.72599,                 1.1549,               0.008218,               0.008218,               0.008218
                     75,                  0.975,                0.58494,                 1.0299,                0.71866,                0.76546,                0.77828,                0.50474,                 1.2072,                0.71039,                 1.1647,              0.0081932,              0.0081932,              0.0081932
                     76,                0.97092,                  0.579,                 1.0286,                0.73261,                0.73673,                0.77575,                 0.5025,                 1.2076,                 0.7139,                  1.159,              0.0081685,              0.0081685,              0.0081685
                     77,                0.96454,                0.57421,                 1.0229,                0.73876,                0.75068,                 0.7804,                0.50556,                 1.2085,                0.70018,                 1.1516,              0.0081437,              0.0081437,              0.0081437
                     78,                0.96647,                0.57949,                 1.0253,                0.74044,                0.74881,                0.78507,                0.51095,                 1.2067,                0.70342,                 1.1513,               0.008119,               0.008119,               0.008119
                     79,                0.96076,                0.57385,                 1.0226,                0.73967,                0.74747,                0.77568,                0.50637,                 1.2058,                0.69636,                  1.151,              0.0080942,              0.0080942,              0.0080942
                     80,                0.97243,                0.58462,                 1.0285,                0.71506,                0.75166,                0.77891,                0.50785,                 1.2093,                 0.6996,                 1.1606,              0.0080695,              0.0080695,              0.0080695
                     81,                0.95834,                 0.5644,                 1.0196,                0.73111,                 0.7486,                0.77723,                0.50439,                 1.2056,                0.69821,                 1.1492,              0.0080447,              0.0080447,              0.0080447
