                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1595,                0.70541,                 1.1823,                0.69673,                0.72884,                0.76552,                0.49227,                 1.2325,                0.77571,                 1.3088,              0.0011479,              0.0011479,              0.0011479
                     36,                 1.1743,                0.71236,                 1.1948,                0.72337,                0.71871,                0.77516,                 0.4897,                 1.2669,                 0.7629,                 1.3137,              0.0011448,              0.0011448,              0.0011448
                     37,                  1.157,                0.69245,                 1.1762,                0.70852,                0.74972,                0.76179,                0.48175,                 1.2755,                0.74594,                 1.3416,              0.0011417,              0.0011417,              0.0011417
                     38,                 1.1596,                 0.6878,                  1.169,                0.72812,                0.73428,                 0.7788,                0.50352,                 1.2354,                0.74165,                 1.3216,              0.0011386,              0.0011386,              0.0011386
                     39,                 1.1398,                0.68066,                 1.1678,                0.71233,                0.72872,                0.76722,                0.49945,                  1.229,                 0.7582,                   1.31,              0.0011355,              0.0011355,              0.0011355
                     40,                  1.142,                0.68162,                 1.1696,                0.72386,                0.73378,                0.77568,                0.50475,                 1.2296,                0.73189,                 1.3138,              0.0011324,              0.0011324,              0.0011324
                     41,                 1.1473,                 0.6836,                 1.1746,                0.71595,                0.74371,                0.78522,                0.51328,                 1.2211,                0.75646,                  1.303,              0.0011293,              0.0011293,              0.0011293
                     42,                 1.1526,                0.67605,                 1.1687,                0.70946,                0.72592,                0.75871,                0.48659,                  1.223,                0.73554,                 1.2763,              0.0011263,              0.0011263,              0.0011263
                     43,                 1.1422,                0.66955,                 1.1685,                 0.6997,                0.74144,                0.77081,                0.49729,                  1.225,                0.74229,                 1.2908,              0.0011232,              0.0011232,              0.0011232
                     44,                 1.1498,                0.69373,                 1.1697,                0.69533,                0.72855,                0.76205,                0.49056,                 1.2247,                0.75461,                 1.2978,              0.0011201,              0.0011201,              0.0011201
                     45,                 1.1399,                 0.6815,                 1.1648,                0.67853,                0.71993,                0.74995,                0.48065,                 1.2326,                0.75886,                 1.3156,               0.001117,               0.001117,               0.001117
                     46,                  1.118,                0.65503,                 1.1474,                0.70331,                 0.7293,                0.76255,                 0.4897,                 1.2358,                0.74821,                 1.2959,              0.0011139,              0.0011139,              0.0011139
                     47,                 1.1332,                0.64683,                 1.1536,                0.70835,                0.72248,                0.75979,                0.48733,                 1.2242,                0.75964,                 1.2923,              0.0011108,              0.0011108,              0.0011108
                     48,                 1.1243,                0.65065,                 1.1501,                0.73286,                0.72464,                0.76538,                0.49381,                 1.2393,                0.73747,                 1.3159,              0.0011077,              0.0011077,              0.0011077
                     49,                 1.1069,                0.63986,                 1.1439,                0.70297,                0.75073,                0.78023,                0.50666,                 1.2205,                0.72328,                 1.2866,              0.0011046,              0.0011046,              0.0011046
                     50,                 1.1134,                 0.6477,                 1.1438,                0.70573,                0.75121,                0.77548,                0.50145,                  1.225,                0.71539,                  1.291,              0.0011015,              0.0011015,              0.0011015
                     51,                 1.1086,                0.64145,                 1.1513,                0.70292,                0.75098,                 0.7818,                0.50056,                 1.2363,                0.74282,                 1.3012,              0.0010984,              0.0010984,              0.0010984
                     52,                  1.101,                0.63479,                 1.1438,                0.67161,                0.75914,                0.77508,                0.50035,                 1.2301,                0.77814,                 1.2965,              0.0010953,              0.0010953,              0.0010953
                     53,                 1.1114,                0.63648,                 1.1384,                0.71427,                 0.7403,                0.77033,                0.49487,                 1.2483,                0.73285,                 1.3118,              0.0010922,              0.0010922,              0.0010922
                     54,                  1.106,                0.62614,                 1.1313,                0.62772,                0.71649,                0.71066,                0.44601,                 1.2782,                0.84113,                 1.3188,              0.0010891,              0.0010891,              0.0010891
                     55,                 1.0927,                0.62474,                  1.134,                0.74598,                0.72287,                0.78339,                 0.5111,                 1.2321,                0.73025,                 1.3054,               0.001086,               0.001086,               0.001086
                     56,                 1.0883,                0.62116,                 1.1359,                0.73015,                0.72433,                0.78605,                0.51008,                 1.2242,                0.73857,                 1.2914,              0.0010829,              0.0010829,              0.0010829
                     57,                 1.0816,                 0.6111,                 1.1283,                0.71947,                0.75137,                0.78156,                0.50567,                 1.2244,                0.71267,                 1.2912,              0.0010798,              0.0010798,              0.0010798
                     58,                 1.0922,                0.61486,                 1.1372,                0.72105,                0.69689,                0.75285,                0.48413,                 1.2452,                0.77776,                 1.3343,              0.0010768,              0.0010768,              0.0010768
                     59,                 1.0869,                0.61759,                 1.1341,                0.72274,                0.74266,                0.77695,                0.50148,                 1.2482,                0.72584,                 1.3089,              0.0010737,              0.0010737,              0.0010737
                     60,                 1.0808,                0.60467,                 1.1286,                0.71367,                0.71566,                0.75628,                0.48338,                 1.2415,                 0.7487,                  1.319,              0.0010706,              0.0010706,              0.0010706
                     61,                 1.0707,                0.59095,                  1.119,                0.70024,                0.73124,                0.75823,                0.48854,                 1.2431,                0.75555,                 1.3192,              0.0010675,              0.0010675,              0.0010675
                     62,                 1.0676,                 0.5966,                 1.1201,                0.72837,                0.75238,                0.79175,                0.51828,                 1.2167,                 0.7059,                 1.2762,              0.0010644,              0.0010644,              0.0010644
                     63,                 1.0752,                0.59868,                 1.1218,                0.71471,                 0.7174,                0.75325,                0.48424,                 1.2383,                0.77171,                 1.3149,              0.0010613,              0.0010613,              0.0010613
                     64,                 1.0709,                0.60119,                 1.1243,                0.69726,                0.76104,                0.77592,                0.50178,                 1.2245,                0.72477,                 1.3033,              0.0010582,              0.0010582,              0.0010582
                     65,                 1.0587,                0.59242,                  1.121,                0.74771,                0.75162,                0.79415,                0.50971,                 1.2422,                 0.7147,                 1.3239,              0.0010551,              0.0010551,              0.0010551
                     66,                 1.0645,                0.58884,                 1.1108,                0.72568,                0.72712,                0.75763,                 0.4812,                 1.2613,                0.75199,                 1.3175,               0.001052,               0.001052,               0.001052
                     67,                 1.0674,                 0.5819,                 1.1156,                0.71206,                 0.7749,                0.78234,                0.51093,                 1.2351,                0.71196,                 1.3072,              0.0010489,              0.0010489,              0.0010489
                     68,                 1.0478,                0.58006,                 1.1205,                 0.7438,                0.73515,                0.77977,                0.49706,                 1.2512,                0.75918,                 1.3213,              0.0010458,              0.0010458,              0.0010458
                     69,                 1.0453,                0.57292,                 1.1094,                0.72402,                0.75839,                0.78941,                 0.5109,                  1.234,                0.71341,                 1.3131,              0.0010427,              0.0010427,              0.0010427
                     70,                 1.0475,                0.57659,                 1.1084,                0.68459,                0.75302,                0.76049,                0.48365,                 1.2676,                0.75216,                 1.3375,              0.0010396,              0.0010396,              0.0010396
                     71,                 1.0353,                0.55706,                 1.1006,                0.71506,                0.75077,                0.76555,                0.48996,                 1.2504,                0.75414,                 1.3493,              0.0010365,              0.0010365,              0.0010365
                     72,                 1.0372,                 0.5625,                 1.1041,                0.71545,                0.71945,                0.76136,                0.48578,                 1.2471,                  0.752,                 1.3424,              0.0010334,              0.0010334,              0.0010334
                     73,                 1.0306,                0.55442,                 1.1029,                0.73415,                0.71887,                 0.7778,                0.50175,                 1.2407,                0.74388,                 1.3176,              0.0010303,              0.0010303,              0.0010303
                     74,                 1.0387,                 0.5639,                  1.101,                0.70432,                0.75148,                0.76999,                0.50108,                 1.2365,                0.75116,                  1.311,              0.0010273,              0.0010273,              0.0010273
                     75,                 1.0359,                0.55231,                 1.0969,                0.70666,                0.73538,                0.76482,                0.49065,                 1.2548,                0.75064,                 1.3418,              0.0010242,              0.0010242,              0.0010242
